,comment_counts,user_counts
0,1,621
1,2,129
2,3,37
3,4,25
4,6,9
5,5,8
6,7,6
7,10,5
8,8,4
9,9,4
10,11,4
11,23,3
12,20,3
13,196,1
14,95,1
15,16,1
16,19,1
17,26,1
18,37,1
19,60,1
20,73,1
21,76,1
22,15,1
